播放董斌主持的情感咨询热线	Radio-Listen
四月一五日在苏州为左麟右李中国巡回演唱会造势	Video-Play
帮我创建一个周一下午2点去北京的闹钟。	Alarm-Update
金莎和林俊杰合唱的歌曲随机来一首	Music-Play
我要你把明天上午的提醒全部取消	Alarm-Update
昨天没扫地，打开扫地机器人。	HomeAppliance-Control
不要忘记在明天三点半提醒我拿道具	Alarm-Update
建一个6月7号下午6点去买菜的提醒	Alarm-Update
告诉我答案农历9月19是11月3日还是11月4日啊	Calendar-Query
济南发往沈阳的大巴明天有没有票	Travel-Query
查询明天安徽东部会下雨吗	Weather-Query
星期几是美国的大蒜节	Calendar-Query
打开长春的气温预报	Weather-Query
开车到嘉陵小学怎么走	Travel-Query
帮我拨一下张楠主持的1039新闻早报	Radio-Listen
明天记得叫我去野炊	Alarm-Update
想看薛之谦认真的雪的幕后花絮	Video-Play
东营到莱芜的17号11点的汽车票查一下	Travel-Query
离开的时候把空调关了啊	HomeAppliance-Control
英文演奏的萨克斯有没有推荐的	Music-Play
杭州最近有风吗	Weather-Query
今年的偶像剧随机来一个可以吗	FilmTele-Play
立刻播放一个音乐类的湖北人民广播电台交通音乐台	Radio-Listen
阿拉伯语言的歌曲随机来一首可以不	Music-Play
现在删除10月4号去我姐姐家的那个提醒	Alarm-Update
我想知道去东莞的客车是几点的呀	Travel-Query
请收听音乐类的黄石交通音乐台	Radio-Listen
单曲循环2016年的歌曲不为谁而作的歌	Music-Play
熔炉是不是一部改变了国家法律的韩国电影	FilmTele-Play
我准备做坐明天上午十点到天津的飞机	Travel-Query
邓紫棋翻唱的手心的蔷薇打开听会儿	Music-Play
播放你是我的命中注定第10集	FilmTele-Play
中午12:30的火车票的闹钟	Alarm-Update
明天下午4点的外教课帮我设定下。	Alarm-Update
快点帮我设置一个明天早上10点做美甲的闹钟。	Alarm-Update
把卧室的空调开到十八度	HomeAppliance-Control
古筝版本的高山流水立刻播放呢	Music-Play
记得给我建一个备忘录9月8号去军营	Alarm-Update
回威海的开大巴车的路线告诉我一下	Travel-Query
空调风速调至4就行	HomeAppliance-Control
定一个6月13号下午3点和同学打排球的行程。	Alarm-Update
回看CCTV3综艺频道的向幸福出发-2021-18五一二护士节	Radio-Listen
30秒以后查询星期几是圣诞节	Calendar-Query
我要听广播调到FM98点1的四川电台	Radio-Listen
我想你让我知道8月20日和8月19日哪天是星期日呢	Calendar-Query
2019年肖战的剧是不是可以给我播放	FilmTele-Play
你帮我设定个周三上午10点论文答辩的闹钟。	Alarm-Update
将明天下午3点前交付文件的行程设置一下。	Alarm-Update
你明天早上还要上班呢	Alarm-Update
周六海南湿度多少	Weather-Query
考试的时候他传纸条给我	Alarm-Update
近期快手火爆的歌曲给随机来一首吧	Other
张东主持的西马讲书播放出来	Radio-Listen
可以试试蒸烤箱的3D热风模式不	HomeAppliance-Control
帮我规划到常州的路线	Travel-Query
具体查询一下遵义开来的大巴是16点的吗	Travel-Query
给我播放青春有你2的一公比赛视频	Video-Play
想吃湖北的家常菜，有视频教学吗	Video-Play
2021年华晨宇唱歌的视频找一个出来	Video-Play
快快的查询一下江门开过来的高铁今天有票吗	Travel-Query
明天是周几呀	Calendar-Query
现在把空气净化器调到自动模式	HomeAppliance-Control
建党节是几月几号	Calendar-Query
查询后天兰州会出现降雨吗	Weather-Query
查询山西后天的气温	Weather-Query
帮我把床头灯打开一下好吗	HomeAppliance-Control
目的地马来西亚2月2号的机票查一下	Travel-Query
你可以将去植物园的最短路线告诉我一下吗	Travel-Query
有萨克斯吹的回家吗，就是专辑浪漫萨克斯里的	Music-Play
1999年发行的歌都播放一遍呢	Music-Play
中央9的藏着的森林还有的看吗帮我看下	TVProgram-Play
是不是能把连续剧继续播一下呢	FilmTele-Play
国庆节是几月几日	Calendar-Query
我想知道明天长沙的温度是多少。	Weather-Query
给我播放一下去年中国抗击新冠疫情的视频	Video-Play
孤独这首歌可以单曲循环一下啊	Music-Play
请为我设置一个周二下午的闹钟，我要看直播呢	Alarm-Update
风太小了，把风扇调到三档风速好吗	HomeAppliance-Control
是不是能继续收听频率是一零六点一的茂名人民广播电台	Radio-Listen
给我查去高新工业科技园的路	Travel-Query
空调风调至50	HomeAppliance-Control
我想看陈伟霆演古剑奇谭的个人花絮视频	Video-Play
可以帮我回放今早七点的西安新闻吗我想看下	Video-Play
怎么走才能到银川兴庆集散中心	Travel-Query
给我转一下4月26号的王者荣耀竞技赛现场	Video-Play
是不是能继续前面的频率九七点八的河源人民广播电台	Radio-Listen
请记得提醒我周六下午3点去浇地。	Alarm-Update
开始循环放一下春日忆李白这首诗吧	Audio-Play
冯小刚导演的剧情类电影播放一个吧	FilmTele-Play
麻烦播放大欢演唱的三生石下	Music-Play
让你播放八爪鱼绘画的相关视频呢啊	Video-Play
绝地求生比赛的视频播一下	Video-Play
请帮我调到幺零零点六零频率的北京广播电台	Radio-Listen
咱这儿明天有西北风吗几级	Weather-Query
帮我打开厨房的灯吧，要做晚餐了	HomeAppliance-Control
你能给我播放一下韩剧W两个世界吗	FilmTele-Play
空调风速调小两个格呀	HomeAppliance-Control
讲一下打火匣的故事英文版的	Audio-Play
我要看一个90年代的恐怖片呢	FilmTele-Play
REVISIT里面的歌曲随机来一首吧，张国荣的	Music-Play
建一个备忘录周一至周五下午4:30打卡	Alarm-Update
浴室好冷啊，帮我把浴霸调成强暖模式吧	HomeAppliance-Control
将微波炉打开，我要加热食物。	HomeAppliance-Control
我希望当我醒了电视能自动打开播放新闻	HomeAppliance-Control
创建一下30号上午8点10分开晨会的提醒。	Alarm-Update
查询明天泰山雷雨天气	Weather-Query
给我放一个美国流行音乐排行第一的mv	Video-Play
想听四川广播电台的新闻联播	Radio-Listen
去年的美国科幻片播放一个吧	FilmTele-Play
快点查查几月几号是这个周三呢	Calendar-Query
请给我调出幺零零点七的江都人民广播电台	Radio-Listen
未来三天芜湖天气怎么样	Weather-Query
打开今天的江苏综艺看看吧	TVProgram-Play
回放上周五刺激战场竞技赛的视频	Video-Play
是不是能给我随机来一首凤凰传奇的歌	Music-Play
尽快设置个今天晚上9点看NBA球赛的闹钟。	Alarm-Update
给我找一下到天安门的路	Travel-Query
好几天没有刮风了周三也不会刮风吧查一下	Weather-Query
会你觉得大家应否予卫诗机会	Music-Play
问除了安全感你给很多人的印象是善良完美的新好男人形象	Music-Play
调到客家天地听听在CNR神州之声呢	Radio-Listen
鼓曲大师骆玉笙的剑阁闻铃你听过吗	Music-Play
我想要删除9号和今天下午5点的备忘录	Alarm-Update
循环播放赵本山的小品听	Audio-Play
给我来一个音乐类的湖北人民广播电台交通音乐台	Radio-Listen
大连到哈尔滨的机票显示一下	Travel-Query
你的笑容已经非常卡哇伊	Music-Play
我要听老妖主持的素人广播	Radio-Listen
播放英文歌曲more than this	Music-Play
她对其他人都有笑容而对我是冷淡是什么原因	Other
6点有北京去沈阳的火车吗	Travel-Query
把洗衣机开启脱水模式吧，我想让衣服快点干	HomeAppliance-Control
推理剧继续给我播放一下	FilmTele-Play
播放欧美动漫正义联盟	Video-Play
清除明天下午所有的闹钟	Alarm-Update
找其他王一博主演的古装剧播放可以吗，除了有匪	FilmTele-Play
咽喉疼痛可以吃西瓜霜润喉片吗	Radio-Listen
给我查看一下今天有丽江飞来上海的飞机不	Travel-Query
怎么开车去农博汇啊	Travel-Query
顺序播放易烊千玺的中文歌。	Music-Play
请帮我转播4月10日的英雄联盟竞技赛的现场	Video-Play
在7:50提醒我去金泰转呀	Alarm-Update
麻烦调到FM91点4成都电台交通广播	Radio-Listen
岳阳市周三需不需要多加衣物防寒保暖。	Weather-Query
听一个林溪主持的毛泽东的故事	Radio-Listen
随机播放一首手风琴演奏的意大利语歌	Music-Play
随便播放一首马头琴演奏的音乐	Music-Play
我要看下一站幸福的第十集呢	FilmTele-Play
廊坊的紫外线会偏高吗	Weather-Query
麻烦回访一下凌晨四点十分的世界看湖南	TVProgram-Play
我需要一首2000年的英语歌曲听听呀	Music-Play
后天晚上10点闹钟你定好了吗	Alarm-Update
蚌埠经济广播电台在104点2给我拨一下	Radio-Listen
我要放些三文鱼，帮我让变温抽屉开到冰鲜档	HomeAppliance-Control
到湖南常德怎么走才到	Travel-Query
找给我一个这个时间在教做饭的生活电台	Other
请帮我查查劳动节是农历几月几日	Calendar-Query
